[['X', 'O', 'X'], [' ', ' ', 'O'], [' ', 'X', 'O']]:0.5
[['X', 'O', 'X'], ['X', ' ', 'O'], [' ', 'X', 'O']]:0.5
[['X', 'O', 'X'], [' ', 'X', 'O'], [' ', 'X', 'O']]:0.5
[['X', 'O', 'X'], [' ', ' ', 'O'], [' ', ' ', 'X']]:0.5
[['X', 'O', 'X'], [' ', ' ', 'O'], ['O', ' ', 'X']]:0.5
[['X', 'O', 'X'], [' ', ' ', 'O'], [' ', 'O', 'X']]:0.5
[['X', 'O', 'X'], ['X', ' ', 'O'], [' ', 'O', 'X']]:0.5
[['X', 'O', 'X'], [' ', 'X', 'O'], [' ', 'O', 'X']]:0.0
[['X', 'O', 'X'], [' ', ' ', ' '], ['O', ' ', ' ']]:0.5
[['X', 'O', 'X'], ['X', ' ', ' '], ['O', ' ', ' ']]:0.5
[['X', 'O', 'X'], ['X', ' ', ' '], ['O', 'O', ' ']]:0.5
[['X', 'O', 'X'], ['X', 'X', ' '], ['O', 'O', ' ']]:0.9738326183486319
[['X', 'O', 'X'], ['X', 'X', ' '], ['O', 'O', 'O']]:1.0
[['X', 'O', 'X'], ['X', ' ', 'X'], ['O', 'O', ' ']]:0.5
[['X', 'O', 'X'], ['X', ' ', 'X'], ['O', 'O', 'O']]:1.0
[['X', 'O', 'X'], ['X', ' ', ' '], ['O', 'O', 'X']]:0.5
[['X', 'O', 'X'], ['X', ' ', ' '], ['O', ' ', 'O']]:0.5
[['X', 'O', 'X'], ['X', 'X', ' '], ['O', ' ', 'O']]:0.9999966242243907
[['X', 'O', 'X'], ['X', ' ', 'X'], ['O', ' ', 'O']]:0.5
[['X', 'O', 'X'], ['X', 'O', 'X'], ['O', ' ', 'O']]:0.5
[['X', 'O', 'X'], ['X', ' ', ' '], ['O', 'X', 'O']]:0.5
[['X', 'O', 'X'], [' ', 'X', ' '], ['O', ' ', ' ']]:0.5
[['X', 'O', 'X'], [' ', 'X', ' '], ['O', 'O', ' ']]:0.45
[['X', 'O', 'X'], [' ', 'X', 'X'], ['O', 'O', ' ']]:0.55
[['X', 'O', 'X'], [' ', 'X', 'X'], ['O', 'O', 'O']]:1.0
[['X', 'O', 'X'], [' ', 'X', ' '], ['O', 'O', 'X']]:0.0
[['X', 'O', 'X'], [' ', 'X', ' '], ['O', ' ', 'O']]:0.5
[['X', 'O', 'X'], [' ', 'X', 'X'], ['O', ' ', 'O']]:0.9999354964960914
[['X', 'O', 'X'], [' ', 'X', ' '], ['O', 'X', 'O']]:0.5
[['X', 'O', 'X'], [' ', ' ', 'X'], ['O', ' ', ' ']]:0.5
[['X', 'O', 'X'], [' ', ' ', 'X'], ['O', 'O', ' ']]:0.5
[['X', 'O', 'X'], [' ', ' ', 'X'], ['O', 'O', 'X']]:0.0
[['X', 'O', 'X'], [' ', ' ', 'X'], ['O', ' ', 'O']]:0.5
[['X', 'O', 'X'], [' ', ' ', 'X'], ['O', 'X', 'O']]:0.5
[['X', 'O', 'X'], [' ', ' ', ' '], ['O', 'X', ' ']]:0.5
[['X', 'O', 'X'], [' ', ' ', ' '], ['O', 'X', 'O']]:0.5
[['X', 'O', 'X'], [' ', ' ', ' '], ['O', ' ', 'X']]:0.5
[['X', 'O', 'X'], [' ', ' ', ' '], ['O', 'O', 'X']]:0.5
[['X', 'O', 'X'], [' ', ' ', ' '], [' ', 'O', ' ']]:0.5
[['X', 'O', 'X'], ['X', ' ', ' '], [' ', 'O', ' ']]:0.5
[['X', 'O', 'X'], ['X', ' ', ' '], [' ', 'O', 'O']]:0.5
[['X', 'O', 'X'], ['X', 'X', ' '], [' ', 'O', 'O']]:0.9166140915016672
[['X', 'O', 'X'], ['X', ' ', 'X'], [' ', 'O', 'O']]:0.5
[['X', 'O', 'X'], ['X', 'O', 'X'], [' ', 'O', 'O']]:1.0
[['X', 'O', 'X'], ['X', ' ', ' '], ['X', 'O', 'O']]:0.0
[['X', 'O', 'X'], [' ', 'X', ' '], [' ', 'O', ' ']]:0.5
[['X', 'O', 'X'], [' ', 'X', ' '], [' ', 'O', 'O']]:0.5
[['X', 'O', 'X'], [' ', 'X', 'X'], [' ', 'O', 'O']]:0.55
[['X', 'O', 'X'], [' ', 'X', ' '], ['X', 'O', 'O']]:0.0
[['X', 'O', 'X'], [' ', ' ', 'X'], [' ', 'O', ' ']]:0.5
[['X', 'O', 'X'], [' ', ' ', 'X'], [' ', 'O', 'O']]:0.5
[['X', 'O', 'X'], [' ', ' ', 'X'], ['X', 'O', 'O']]:0.5
[['X', 'O', 'X'], [' ', 'O', 'X'], ['X', 'O', 'O']]:1.0
[['X', 'O', 'X'], [' ', ' ', ' '], ['X', 'O', ' ']]:0.5
[['X', 'O', 'X'], [' ', ' ', ' '], ['X', 'O', 'O']]:0.5
[['X', 'O', 'X'], [' ', ' ', ' '], [' ', 'O', 'X']]:0.5
[['X', 'O', 'X'], [' ', ' ', ' '], [' ', ' ', 'O']]:0.5
[['X', 'O', 'X'], ['X', ' ', ' '], [' ', ' ', 'O']]:0.5
[['X', 'O', 'X'], ['X', 'O', ' '], [' ', ' ', 'O']]:0.5
[['X', 'O', 'X'], ['X', 'O', 'X'], [' ', ' ', 'O']]:0.5
[['X', 'O', 'X'], ['X', 'O', ' '], ['X', ' ', 'O']]:0.0
[['X', 'O', 'X'], [' ', 'X', ' '], [' ', ' ', 'O']]:0.5
[['X', 'O', 'X'], [' ', ' ', 'X'], [' ', ' ', 'O']]:0.5
[['X', 'O', 'X'], [' ', 'O', 'X'], [' ', ' ', 'O']]:0.5
[['X', 'O', 'X'], [' ', 'O', 'X'], ['X', ' ', 'O']]:0.5
[['X', 'O', 'X'], [' ', ' ', ' '], ['X', ' ', 'O']]:0.5
[['X', 'O', 'X'], [' ', 'O', ' '], ['X', ' ', 'O']]:0.5
[['X', 'O', 'X'], [' ', ' ', ' '], [' ', 'X', 'O']]:0.5
[['X', 'O', ' '], ['X', ' ', ' '], [' ', ' ', ' ']]:0.5
[['X', 'O', 'O'], ['X', ' ', ' '], [' ', ' ', ' ']]:0.45
[['X', 'O', 'O'], ['X', 'X', ' '], [' ', ' ', ' ']]:0.5
[['X', 'O', 'O'], ['X', 'X', 'O'], [' ', ' ', ' ']]:0.45
[['X', 'O', 'O'], ['X', 'X', 'O'], ['X', ' ', ' ']]:0.0
[['X', 'O', 'O'], ['X', 'X', ' '], ['O', ' ', ' ']]:0.015451577191316302
[['X', 'O', 'O'], ['X', 'X', 'X'], ['O', ' ', ' ']]:0.0
[['X', 'O', 'O'], ['X', 'X', ' '], [' ', 'O', ' ']]:0.45
[['X', 'O', 'O'], ['X', 'X', 'X'], [' ', 'O', ' ']]:0.0
[['X', 'O', 'O'], ['X', 'X', ' '], [' ', ' ', 'O']]:0.015451577191316302
[['X', 'O', 'O'], ['X', 'X', 'X'], [' ', ' ', 'O']]:0.0
[['X', 'O', 'O'], ['X', ' ', 'X'], [' ', ' ', ' ']]:0.03373325326282708
[['X', 'O', 'O'], ['X', 'O', 'X'], [' ', ' ', ' ']]:0.029074868501520024
[['X', 'O', 'O'], ['X', 'O', 'X'], ['X', ' ', ' ']]:0.0
[['X', 'O', 'O'], ['X', ' ', 'X'], ['O', ' ', ' ']]:0.029074868501520024
[['X', 'O', 'O'], ['X', ' ', 'X'], ['O', 'X', ' ']]:0.22275395964173872
[['X', 'O', 'O'], ['X', 'O', 'X'], ['O', 'X', ' ']]:1.0
[['X', 'O', 'O'], ['X', ' ', 'X'], ['O', ' ', 'X']]:0.5
[['X', 'O', 'O'], ['X', 'O', 'X'], ['O', ' ', 'X']]:1.0
[['X', 'O', 'O'], ['X', ' ', 'X'], [' ', 'O', ' ']]:0.029074868501520024
[['X', 'O', 'O'], ['X', ' ', 'X'], ['X', 'O', ' ']]:0.0
[['X', 'O', 'O'], ['X', ' ', 'X'], [' ', ' ', 'O']]:0.029074868501520024
[['X', 'O', 'O'], ['X', ' ', 'X'], ['X', ' ', 'O']]:0.0
[['X', 'O', 'O'], ['X', ' ', ' '], ['X', ' ', ' ']]:0.0
[['X', 'O', ' '], ['X', 'O', ' '], [' ', ' ', ' ']]:0.45
[['X', 'O', ' '], ['X', 'O', 'X'], [' ', ' ', ' ']]:0.5
[['X', 'O', ' '], ['X', 'O', 'X'], ['O', ' ', ' ']]:0.5
[['X', 'O', ' '], ['X', 'O', 'X'], ['O', 'X', ' ']]:0.5
